G01B9/02 物理;测量;组中所列的及以采用光学测量方法为其特征的仪器;干涉仪;
G06C15/02 计算;计数;一切计算均用机械方式实现的数字计算机;计算机构及其执行装置;二进制的运算;
G06C15/02 计算;计数;一切计算均用机械方式实现的数字计算机;计算机构及其执行装置;二进制的运算;
G06C7/02 计算;推算;计数;一切计算均用机械方式实现的数字计算机;输入机构;键盘设备;
G12B11/00 仪器的零部件;仪器的结构零部件;指示元件;
G01G13/00 测量;称量;带有自动供料或卸料以称量成批材料的称量设备;
G01T3/06 测量;核辐射或X射线辐射的测量;中子辐射的测量;用闪烁探测器;
G01T3/00 物理;测量;核辐射或X射线辐射的测量;中子辐射的测量;
G01B7/02 测量;长度的计量;计量设备;用于计量长度;
G01P11/00 测量;线速度或角速度、加速度、减速度的测量;测量速度的平均值;
G11B25/02 基于记录载体的信息存储;按所用记录载体的形状区分的;记录载体;
