U463.65+5 公路;运输;汽车;工程;电气;设备;附件;照明;信号;系统;停刹车;装置;
O436.3 物理学;物理;波动;光学;偏振;色散;
TL46 原子能;技术;各种;核;反应堆;裂变;聚变;混合;
TP342+.1 计算机;技术;计算;电子;模拟;运算;放大器;控制器;
TP338 计算机;技术;电子;数字;各种;
TH811 机械;仪表;工业;仪器;热工量;测量;温度;
TH812 仪表;工业;仪器;热工量;测量;压力;
TH724 仪表;工业;仪器;计算;机具;计数器;
TM552 电工;技术;电器;电感器;线圈;扼流圈;磁芯;电感;
TM923.31 电工;技术;电气化;电能;应用;电气;照明;灯泡;灯管;白热;白炽灯;
TN916.4 无线电;电子学;电信;技术;通信;电话;交换;交换机;
TN945+.7 无线电;电子学;电信;技术;电视;同步;系统;多;节目源;
TN722.5 无线电;电子学;电信;技术;基本;电子;电路;放大;放大器;工作;原理;分;
TM32 工业;技术;电工;电机;电动机;总论;
TM31 电工;技术;电机;发电机;大型;发电机组;总论;
[TN761.91] 无线电;电子学;电信;技术;基本;电子电路;调制;调制器;增量调制;
TM564.4 电工;技术;电器;开关;断路器;各种;旋转;滑动开关;
TN949.12 无线电;电子学;电信;技术;电视;按;体制;分;彩色;
TM431 电工;技术;变压器;变流器;频率;音频;成声;
TM451+.1 电工;技术;变压器;变流器;电抗器;互感器;电压;单相;
TM452+.92 电工;技术;变压器;变流器;互感器;电流;直流;
TM452+.92 电工;技术;变压器;变流器;电抗器;互感器;电流;直流;
TM32 工业;技术;电工;电机;电动机;总论;
TN722 无线电;电子学;电信;技术;基本;电子;电路;放大;放大器;
TM246+.1 电工;材料;导电;其制品;电气;装备;用;电线;电缆;通用;
TM249.4 电工;材料;导电;及其;制品;特种;电缆;低温;超低温;
P756.1 海洋学;海洋;工程;海下;水下;电缆;
TM351 电工;技术;电机;特殊;永磁;
TM411+.4 电工;技术;变压器;变流器;电力;油;浸式;成套;变电站;
TM313 电工;技术;电机;发电机;大型;组;总论;永磁;
TN786+.4 无线;电;电子学;电信;技术;基本;电子;电路;脉冲;变换;限幅;
TM144 工业;技术;电工;基础;理论;磁路;永久;磁铁;
U224.2+7 电气化;铁路;牵引;变电所;变电;设备;一次;母线;
TM561.1 电工;技术;电器;开关;断路器;空气;压缩;
TM216 电工;技术;材料;绝缘;电介质;制品;绝缘子;套管;
TN643+.8 无线电;电子学;电信;技术;电子;元件;组件;电声;器件;扬声器;立体声;
TM643 电工;技术;发电;发电厂;配电;设备;电气;接线;开关;
TN722.5 无线电;电子学;电信;技术;电子;电路;放大;放大器;
